name,rating,num_reviews,address,phone,website,yelp
L'Auberge Aveyronnaise,4.0,108,40 Rue Gabriel Lamé 75012 Paris,01 43 40 12 24,www.aveyron.com,https://www.yelp.com/biz/l-auberge-aveyronnaise-paris?osq=Restaurant
20 Eiffel,4.5,16,20 rue de Monttessuy 75007 Paris,01 47 05 14 20,www.restaurant20eiffel.f,https://www.yelp.com/biz/20-eiffel-paris?osq=Restaurant
Crêperie Saint Eustache,4.5,50,2 rue Sauval 75001 Paris,01 40 28 40 39,,https://www.yelp.com/biz/cr%C3%AAperie-saint-eustache-paris-2?osq=Restaurant
Don Giovanni,5.0,22,19 rue François Miron 75004 Paris,01 48 87 01 02,www.dongiovanniparis.co,https://www.yelp.com/biz/don-giovanni-paris?osq=Restaurant
Le Mimosa,4.0,7,27 rue du Pont-Neuf 75001 Paris,01 40 26 30 74,www.mimosa-paris.fr,https://www.yelp.com/biz/le-mimosa-paris-2?osq=Restaurant
Bien Élevé,4.5,13,47 rue Richer 75009 Paris,01 45 81 44 35,www.bieneleve.f,https://www.yelp.com/biz/bien-%C3%A9lev%C3%A9-paris?osq=Restaurant
Restaurant le Meurice Alain Ducasse,4.0,85,228 rue de Rivoli 75001 Paris,01 44 58 10 55,www.dorchestercollection.com,https://www.yelp.com/biz/restaurant-le-meurice-alain-ducasse-paris-2?osq=Restaurant
Riz Riz,4.5,9,221 rue Saint Martin 75003 Paris,01 83 89 39 70,www.riz-riz.co,https://www.yelp.com/biz/riz-riz-paris?osq=Restaurant
Uma Nota,4.5,13,86 rue Réaumur 75002 Paris,01 42 33 07 71,www.uma-nota.co,https://www.yelp.com/biz/uma-nota-paris?osq=Restaurant
Inavoué,4.5,6,4 impasse Gomboust 75001 Paris,01 40 20 09 28,,https://www.yelp.com/biz/inavou%C3%A9-paris-4?osq=Restaurant
L'Auberge Aveyronnaise,4.0,108,40 Rue Gabriel Lamé 75012 Paris,01 43 40 12 24,www.aveyron.com,https://www.yelp.com/biz/l-auberge-aveyronnaise-paris?osq=Restaurant
